GX,GY,GZ,AX,AY,AZ
5.353846,0.553846,-2.184615,0.025391,-0.008301,0.960205
5.353846,0.553846,-2.184615,0.023926,-0.008545,0.960938
5.323077,0.615385,-2.184615,0.025391,-0.008301,0.960693
5.323077,0.615385,-2.184615,0.02417,-0.008301,0.958252
5.292308,0.584615,-2.215385,0.022461,-0.009766,0.95874
5.292308,0.646154,-2.215385,0.023193,-0.009521,0.958496
5.323077,0.584615,-2.215385,0.023193,-0.009277,0.959473
5.292308,0.584615,-2.246154,0.024902,-0.009277,0.958252
5.323077,0.615385,-2.184615,0.024414,-0.008545,0.957275
5.353846,0.553846,-2.184615,0.02417,-0.009033,0.959473
5.323077,0.553846,-2.215385,0.023438,-0.008789,0.959473
5.353846,0.553846,-2.215385,0.024414,-0.008301,0.958496
5.292308,0.553846,-2.215385,0.024414,-0.009033,0.95752
5.353846,0.584615,-2.215385,0.025391,-0.008057,0.956787
5.323077,0.553846,-2.215385,0.02417,-0.008301,0.957275
5.384615,0.553846,-2.184615,0.025879,-0.008789,0.957764
5.353846,0.584615,-2.215385,0.025879,-0.008789,0.956543
5.323077,0.584615,-2.215385,0.025391,-0.010498,0.95874
5.353846,0.523077,-2.215385,0.024414,-0.009277,0.958984
5.323077,0.553846,-2.215385,0.024902,-0.009033,0.960449
5.353846,0.553846,-2.184615,0.024658,-0.009277,0.960205
5.323077,0.584615,-2.184615,0.023926,-0.009033,0.959473
5.292308,0.584615,-2.215385,0.024902,-0.009521,0.957764
5.323077,0.615385,-2.184615,0.026611,-0.009277,0.958252
5.292308,0.615385,-2.153846,0.025635,-0.009277,0.958252
5.323077,0.584615,-2.184615,0.025635,-0.01001,0.958984
5.353846,0.584615,-2.184615,0.026367,-0.009033,0.958252
5.323077,0.584615,-2.184615,0.025879,-0.010498,0.958252
5.323077,0.615385,-2.184615,0.025635,-0.010742,0.959961
5.323077,0.584615,-2.153846,0.024902,-0.009277,0.960205
5.323077,0.584615,-2.184615,0.024902,-0.009277,0.959473
5.292308,0.553846,-2.215385,0.025635,-0.01001,0.958984
5.292308,0.523077,-2.184615,0.025146,-0.01001,0.959961
5.292308,0.553846,-2.184615,0.02417,-0.009277,0.959961
5.353846,0.584615,-2.184615,0.023682,-0.008789,0.95752
5.323077,0.523077,-2.215385,0.02417,-0.008789,0.958252
5.323077,0.553846,-2.184615,0.02417,-0.008545,0.958252
5.323077,0.553846,-2.215385,0.024902,-0.008301,0.958252
5.353846,0.584615,-2.184615,0.024658,-0.008545,0.958496
5.353846,0.584615,-2.184615,0.025879,-0.009033,0.957031
5.323077,0.584615,-2.215385,0.025391,-0.009766,0.956543
5.353846,0.584615,-2.184615,0.025635,-0.009766,0.958984
5.323077,0.553846,-2.184615,0.024902,-0.01001,0.957275
5.353846,0.553846,-2.184615,0.024658,-0.01001,0.956543
5.292308,0.553846,-2.153846,0.024902,-0.009033,0.957031
5.353846,0.584615,-2.184615,0.025635,-0.009277,0.959717
5.323077,0.553846,-2.184615,0.025879,-0.01001,0.959961
5.323077,0.553846,-2.184615,0.024902,-0.009277,0.958252
5.323077,0.553846,-2.184615,0.025146,-0.008789,0.95874
5.261539,0.553846,-2.215385,0.025391,-0.009033,0.958496
5.292308,0.523077,-2.215385,0.025635,-0.009521,0.958496
5.323077,0.584615,-2.215385,0.025635,-0.009277,0.958252
5.323077,0.553846,-2.184615,0.025146,-0.008545,0.95752
5.323077,0.553846,-2.184615,0.024414,-0.008301,0.957764
5.353846,0.584615,-2.215385,0.024902,-0.007568,0.95874
5.292308,0.615385,-2.184615,0.025635,-0.008057,0.959229
5.292308,0.615385,-2.184615,0.025146,-0.008057,0.958008
5.323077,0.615385,-2.153846,0.024658,-0.008301,0.95752
5.292308,0.584615,-2.184615,0.024658,-0.008301,0.957764
5.292308,0.553846,-2.184615,0.024658,-0.008545,0.958984
5.292308,0.553846,-2.215385,0.023682,-0.009521,0.958496
5.353846,0.584615,-2.215385,0.024414,-0.01001,0.959473
5.353846,0.584615,-2.246154,0.02417,-0.009033,0.960693
5.353846,0.553846,-2.246154,0.024902,-0.007812,0.959473
5.353846,0.553846,-2.246154,0.025146,-0.007568,0.960938
5.323077,0.553846,-2.215385,0.024658,-0.009033,0.961426
5.323077,0.584615,-2.184615,0.025635,-0.009521,0.961182
5.323077,0.615385,-2.184615,0.025146,-0.009277,0.959717
5.323077,0.553846,-2.184615,0.024658,-0.008789,0.95752
5.292308,0.584615,-2.184615,0.024414,-0.010742,0.957275
5.323077,0.553846,-2.215385,0.02417,-0.009521,0.957764
5.292308,0.553846,-2.215385,0.024658,-0.009766,0.958496
5.323077,0.553846,-2.184615,0.024414,-0.010254,0.957275
5.323077,0.553846,-2.184615,0.023926,-0.010498,0.958496
5.292308,0.553846,-2.184615,0.023926,-0.009277,0.956787
5.292308,0.584615,-2.184615,0.023682,-0.009521,0.958008
5.323077,0.584615,-2.184615,0.024658,-0.009521,0.959961
5.292308,0.553846,-2.215385,0.024902,-0.009766,0.95874
5.292308,0.523077,-2.184615,0.024902,-0.009277,0.959473
5.323077,0.584615,-2.184615,0.02417,-0.009033,0.956787
5.353846,0.584615,-2.184615,0.023193,-0.009277,0.957031
5.323077,0.553846,-2.215385,0.022461,-0.008301,0.959717
5.323077,0.523077,-2.215385,0.023438,-0.008057,0.959229
5.323077,0.523077,-2.215385,0.02417,-0.007812,0.958008
5.323077,0.553846,-2.215385,0.023926,-0.008545,0.958252
5.292308,0.553846,-2.215385,0.025635,-0.009033,0.959229
5.323077,0.584615,-2.184615,0.025879,-0.009766,0.958984
5.323077,0.553846,-2.184615,0.02417,-0.008301,0.957031
5.323077,0.553846,-2.215385,0.025146,-0.009766,0.958252
5.353846,0.584615,-2.215385,0.023926,-0.009521,0.958496
5.353846,0.584615,-2.215385,0.02417,-0.009033,0.957764
5.323077,0.584615,-2.215385,0.023926,-0.009766,0.957275
5.292308,0.584615,-2.184615,0.024658,-0.009521,0.958252
5.292308,0.584615,-2.153846,0.025146,-0.009033,0.959961
5.323077,0.553846,-2.184615,0.023193,-0.009033,0.958496
5.353846,0.615385,-2.184615,0.023193,-0.009521,0.959717
5.353846,0.523077,-2.184615,0.023193,-0.009521,0.958008
5.353846,0.553846,-2.184615,0.024658,-0.009277,0.958984
5.353846,0.584615,-2.184615,0.024658,-0.009766,0.958008
5.353846,0.584615,-2.184615,0.024902,-0.010254,0.95752
5.353846,0.584615,-2.215385,0.025146,-0.009766,0.957764
5.353846,0.584615,-2.215385,0.024902,-0.008789,0.956787
5.323077,0.553846,-2.215385,0.023926,-0.009033,0.959229
5.323077,0.553846,-2.246154,0.024658,-0.009766,0.958496
5.292308,0.553846,-2.215385,0.025391,-0.009766,0.958984
5.323077,0.553846,-2.184615,0.024658,-0.009521,0.959961
5.323077,0.553846,-2.153846,0.024902,-0.009521,0.959717
5.323077,0.553846,-2.184615,0.025146,-0.009766,0.960938
5.353846,0.553846,-2.153846,0.025635,-0.01001,0.960938
5.353846,0.584615,-2.184615,0.026123,-0.009277,0.961182
5.323077,0.553846,-2.184615,0.024902,-0.009521,0.959717
5.353846,0.584615,-2.184615,0.025146,-0.009033,0.960449
5.353846,0.584615,-2.184615,0.02417,-0.008789,0.959473
5.323077,0.553846,-2.184615,0.023682,-0.009766,0.959961
5.323077,0.553846,-2.153846,0.023926,-0.01123,0.959229
5.323077,0.553846,-2.184615,0.02417,-0.01001,0.958496
5.323077,0.553846,-2.184615,0.025146,-0.010498,0.960449
5.323077,0.584615,-2.215385,0.026367,-0.009521,0.959717
5.353846,0.584615,-2.184615,0.025635,-0.01001,0.959229
5.323077,0.584615,-2.153846,0.023682,-0.009521,0.958984
5.292308,0.584615,-2.184615,0.023193,-0.009033,0.95874
5.323077,0.584615,-2.184615,0.024658,-0.008545,0.95752
5.323077,0.615385,-2.215385,0.025146,-0.008545,0.960449
5.353846,0.584615,-2.184615,0.024658,-0.008789,0.959473
5.323077,0.584615,-2.184615,0.024414,-0.009277,0.95874
5.292308,0.584615,-2.215385,0.024902,-0.008545,0.959961
5.323077,0.584615,-2.215385,0.024902,-0.008789,0.957764
5.353846,0.553846,-2.184615,0.024658,-0.007812,0.95874
5.353846,0.584615,-2.184615,0.025635,-0.009521,0.958984
5.323077,0.584615,-2.184615,0.025635,-0.009277,0.959229
5.353846,0.553846,-2.184615,0.025146,-0.009766,0.95874
5.323077,0.615385,-2.215385,0.023438,-0.010254,0.958252
5.323077,0.615385,-2.215385,0.023682,-0.009033,0.958252
5.353846,0.584615,-2.215385,0.024902,-0.008545,0.958496
5.353846,0.615385,-2.184615,0.025635,-0.009521,0.95874
5.353846,0.615385,-2.215385,0.024414,-0.009277,0.960449
5.292308,0.584615,-2.246154,0.024414,-0.009033,0.960449
5.323077,0.584615,-2.246154,0.025879,-0.008301,0.959717
5.292308,0.553846,-2.246154,0.024902,-0.008057,0.958984
5.323077,0.553846,-2.184615,0.024902,-0.007812,0.959473
5.323077,0.584615,-2.184615,0.025635,-0.008301,0.959961
5.323077,0.553846,-2.184615,0.025879,-0.007812,0.96167
5.353846,0.584615,-2.153846,0.025146,-0.007812,0.959473
5.353846,0.615385,-2.184615,0.02417,-0.009033,0.958496
5.353846,0.584615,-2.215385,0.022705,-0.009521,0.957764
5.323077,0.584615,-2.215385,0.023438,-0.010254,0.958984
5.323077,0.615385,-2.215385,0.023193,-0.010498,0.958496
5.353846,0.584615,-2.215385,0.023682,-0.010254,0.958252
5.384615,0.553846,-2.215385,0.022461,-0.009766,0.95874
5.353846,0.584615,-2.215385,0.023926,-0.01001,0.960693
5.323077,0.523077,-2.215385,0.024658,-0.010498,0.960205
5.323077,0.553846,-2.184615,0.024902,-0.010498,0.958008
5.292308,0.553846,-2.215385,0.025146,-0.010498,0.958252
5.292308,0.553846,-2.215385,0.025391,-0.009521,0.95874
5.323077,0.553846,-2.184615,0.024902,-0.010254,0.960205
5.323077,0.553846,-2.184615,0.024414,-0.009521,0.959229
5.353846,0.553846,-2.184615,0.024902,-0.009766,0.95874
5.323077,0.584615,-2.184615,0.023682,-0.009033,0.960693
5.323077,0.584615,-2.184615,0.022461,-0.009033,0.960938
5.353846,0.584615,-2.153846,0.022705,-0.009277,0.960938
5.323077,0.615385,-2.215385,0.022949,-0.009766,0.959229
5.353846,0.584615,-2.215385,0.023926,-0.009766,0.959473
5.353846,0.584615,-2.184615,0.025635,-0.009033,0.959229
5.384615,0.553846,-2.184615,0.025635,-0.009521,0.957031
5.353846,0.553846,-2.184615,0.026611,-0.008545,0.957275
5.323077,0.553846,-2.215385,0.024658,-0.009033,0.957031
5.323077,0.553846,-2.215385,0.024902,-0.009277,0.958984
5.323077,0.584615,-2.184615,0.025879,-0.009277,0.958496
5.353846,0.584615,-2.184615,0.024414,-0.009033,0.958252
5.353846,0.615385,-2.184615,0.025146,-0.009277,0.959473
5.353846,0.615385,-2.184615,0.026123,-0.009521,0.95874
5.353846,0.615385,-2.184615,0.025391,-0.010254,0.958496
5.323077,0.553846,-2.184615,0.024658,-0.009521,0.958496
5.353846,0.553846,-2.215385,0.023926,-0.009766,0.959473
5.384615,0.553846,-2.184615,0.024658,-0.01001,0.958984
5.353846,0.553846,-2.215385,0.02417,-0.009033,0.95874
5.323077,0.584615,-2.184615,0.023193,-0.009766,0.958496
5.353846,0.553846,-2.215385,0.023193,-0.009277,0.958008
5.353846,0.553846,-2.184615,0.024658,-0.009766,0.957275
5.384615,0.553846,-2.184615,0.025391,-0.008789,0.95752
5.353846,0.584615,-2.184615,0.023682,-0.01001,0.958496
5.353846,0.615385,-2.153846,0.023926,-0.009033,0.960205
5.353846,0.584615,-2.184615,0.023682,-0.009277,0.959473
5.323077,0.584615,-2.153846,0.02417,-0.009277,0.959961
5.353846,0.584615,-2.184615,0.024902,-0.007812,0.959473
5.353846,0.615385,-2.184615,0.025635,-0.009521,0.959961
5.353846,0.584615,-2.215385,0.025879,-0.009033,0.958984
5.353846,0.584615,-2.215385,0.025391,-0.008545,0.958252
5.353846,0.615385,-2.184615,0.024414,-0.009766,0.958984
5.353846,0.584615,-2.184615,0.023926,-0.008545,0.958008
5.323077,0.553846,-2.215385,0.024414,-0.008301,0.95874
5.323077,0.584615,-2.215385,0.024658,-0.008545,0.959229
5.384615,0.584615,-2.215385,0.023682,-0.009033,0.95752
5.353846,0.584615,-2.215385,0.023438,-0.009521,0.956787
5.384615,0.584615,-2.215385,0.023682,-0.010254,0.955566
5.353846,0.553846,-2.215385,0.024414,-0.009033,0.958008
5.353846,0.584615,-2.184615,0.02417,-0.008789,0.959717
5.384615,0.584615,-2.153846,0.02417,-0.009521,0.95874
5.384615,0.523077,-2.184615,0.02417,-0.008789,0.959961
5.353846,0.523077,-2.184615,0.023438,-0.008789,0.95874
5.323077,0.553846,-2.215385,0.025391,-0.010742,0.958496
5.353846,0.584615,-2.215385,0.026855,-0.010254,0.958984
5.292308,0.553846,-2.184615,0.025391,-0.009766,0.958496
5.323077,0.553846,-2.184615,0.025146,-0.010254,0.957764
5.323077,0.553846,-2.215385,0.024902,-0.008301,0.958252
5.353846,0.584615,-2.215385,0.024902,-0.007812,0.958252
5.384615,0.615385,-2.215385,0.02417,-0.009033,0.957764
5.384615,0.553846,-2.184615,0.024658,-0.008057,0.957764
5.353846,0.553846,-2.184615,0.024902,-0.008789,0.95874
5.353846,0.553846,-2.153846,0.024414,-0.008545,0.959717
5.323077,0.553846,-2.215385,0.02417,-0.009277,0.959229
5.292308,0.523077,-2.215385,0.024658,-0.009277,0.959717
5.323077,0.553846,-2.215385,0.023926,-0.01001,0.959229
5.353846,0.584615,-2.215385,0.025146,-0.008789,0.960938
5.292308,0.584615,-2.215385,0.02417,-0.009277,0.95874
5.292308,0.553846,-2.215385,0.023926,-0.009277,0.959229
5.353846,0.615385,-2.184615,0.02417,-0.009521,0.959961
5.384615,0.584615,-2.184615,0.024414,-0.009277,0.960205
5.353846,0.553846,-2.184615,0.02417,-0.009033,0.958252
5.384615,0.584615,-2.215385,0.02417,-0.008057,0.960205
5.353846,0.584615,-2.184615,0.023193,-0.007812,0.958496
5.384615,0.553846,-2.215385,0.024414,-0.007812,0.957764
5.353846,0.553846,-2.215385,0.025635,-0.009277,0.958984
5.323077,0.584615,-2.215385,0.025146,-0.008789,0.958496
5.292308,0.584615,-2.215385,0.023438,-0.008789,0.957275
5.292308,0.584615,-2.153846,0.025635,-0.01001,0.956543
5.292308,0.584615,-2.184615,0.025391,-0.010254,0.95752
5.353846,0.584615,-2.184615,0.024902,-0.009277,0.95874
5.353846,0.584615,-2.215385,0.02417,-0.010498,0.959229
5.353846,0.584615,-2.184615,0.024414,-0.009277,0.957764
5.353846,0.584615,-2.184615,0.025146,-0.009277,0.957764
5.323077,0.553846,-2.153846,0.024902,-0.009521,0.959961
5.353846,0.584615,-2.184615,0.025635,-0.010254,0.960693
5.353846,0.553846,-2.184615,0.025391,-0.009766,0.95752
5.353846,0.615385,-2.184615,0.025635,-0.009766,0.95874
5.323077,0.584615,-2.215385,0.023682,-0.010254,0.95874
5.323077,0.553846,-2.184615,0.023193,-0.010986,0.960449
5.323077,0.553846,-2.215385,0.024658,-0.01001,0.959473
5.353846,0.584615,-2.184615,0.024658,-0.009277,0.960205
5.323077,0.584615,-2.184615,0.024658,-0.009766,0.959961
5.292308,0.553846,-2.215385,0.024902,-0.009766,0.958496
5.323077,0.553846,-2.215385,0.025635,-0.010254,0.958496
5.323077,0.553846,-2.184615,0.025391,-0.009033,0.959717
5.353846,0.584615,-2.153846,0.024902,-0.009766,0.960449
5.323077,0.584615,-2.184615,0.024658,-0.010254,0.959717
5.323077,0.615385,-2.184615,0.025146,-0.009033,0.95752
5.323077,0.584615,-2.184615,0.025635,-0.009521,0.957764
5.323077,0.584615,-2.184615,0.024414,-0.010254,0.957275
5.353846,0.615385,-2.184615,0.022949,-0.010254,0.958252
5.323077,0.553846,-2.215385,0.022949,-0.01001,0.958008
5.292308,0.523077,-2.184615,0.022461,-0.010254,0.960205
5.292308,0.553846,-2.215385,0.023193,-0.008301,0.960205
5.323077,0.615385,-2.184615,0.023438,-0.009277,0.960938
5.292308,0.615385,-2.153846,0.023438,-0.008057,0.960693
5.323077,0.615385,-2.153846,0.023926,-0.007568,0.957275
5.353846,0.615385,-2.184615,0.024414,-0.008057,0.959229
5.323077,0.553846,-2.184615,0.023682,-0.008789,0.959717
5.384615,0.553846,-2.184615,0.02417,-0.008545,0.958252
5.415385,0.553846,-2.184615,0.025146,-0.007812,0.95874
5.353846,0.615385,-2.184615,0.025635,-0.008301,0.95752
5.323077,0.584615,-2.184615,0.024658,-0.008301,0.957275
5.323077,0.584615,-2.153846,0.023926,-0.01001,0.95752
5.323077,0.584615,-2.153846,0.024414,-0.009277,0.95752
5.353846,0.584615,-2.184615,0.02417,-0.01001,0.958496
5.353846,0.584615,-2.246154,0.024414,-0.009277,0.959229
5.323077,0.523077,-2.215385,0.024414,-0.009033,0.958252
5.292308,0.553846,-2.184615,0.025635,-0.009033,0.959473
5.292308,0.553846,-2.184615,0.025391,-0.008057,0.959473
5.323077,0.553846,-2.153846,0.024414,-0.008789,0.958984
5.323077,0.584615,-2.153846,0.024902,-0.009766,0.958252
5.323077,0.584615,-2.184615,0.025879,-0.008545,0.95874
5.353846,0.553846,-2.215385,0.025391,-0.008545,0.959473
5.323077,0.553846,-2.215385,0.025635,-0.008545,0.959229
5.323077,0.584615,-2.215385,0.025391,-0.008057,0.957031
5.353846,0.615385,-2.215385,0.02417,-0.008057,0.958496
5.353846,0.615385,-2.215385,0.023926,-0.009033,0.95752
5.353846,0.615385,-2.184615,0.024414,-0.009277,0.959473
5.353846,0.553846,-2.153846,0.025879,-0.009766,0.959717
5.323077,0.523077,-2.184615,0.024902,-0.01001,0.958496
5.323077,0.553846,-2.184615,0.025391,-0.01001,0.959717
5.323077,0.553846,-2.215385,0.024658,-0.010742,0.959961
5.323077,0.553846,-2.184615,0.02417,-0.011475,0.960205
5.292308,0.553846,-2.184615,0.024414,-0.01001,0.959717
5.323077,0.584615,-2.184615,0.02417,-0.008545,0.959961
5.384615,0.553846,-2.215385,0.02417,-0.009277,0.959229
5.353846,0.553846,-2.184615,0.025391,-0.01001,0.960205
5.384615,0.584615,-2.184615,0.023193,-0.01123,0.958984
5.353846,0.553846,-2.184615,0.022461,-0.010986,0.956543
5.353846,0.553846,-2.215385,0.023438,-0.010742,0.957031
5.323077,0.523077,-2.215385,0.02417,-0.009766,0.958252
5.384615,0.553846,-2.215385,0.025635,-0.009033,0.958008
5.353846,0.553846,-2.215385,0.024658,-0.009277,0.95874
5.353846,0.584615,-2.215385,0.024902,-0.008301,0.958496
5.353846,0.553846,-2.215385,0.024902,-0.009277,0.957275
5.353846,0.553846,-2.184615,0.02417,-0.008789,0.957275
5.323077,0.553846,-2.184615,0.024414,-0.009766,0.957275
5.323077,0.553846,-2.184615,0.023926,-0.008301,0.958496
5.353846,0.584615,-2.153846,0.025635,-0.008301,0.959473
5.353846,0.615385,-2.184615,0.024658,-0.009033,0.959473
5.353846,0.584615,-2.184615,0.023438,-0.009521,0.958496
5.323077,0.584615,-2.215385,0.023926,-0.009277,0.959961
5.353846,0.553846,-2.215385,0.024658,-0.008545,0.961426
5.353846,0.553846,-2.215385,0.025146,-0.008789,0.961182
5.323077,0.553846,-2.184615,0.025879,-0.00708,0.960693
5.323077,0.584615,-2.215385,0.024902,-0.007568,0.960449
5.323077,0.553846,-2.215385,0.025879,-0.009277,0.96167
5.353846,0.615385,-2.246154,0.024658,-0.009277,0.961182
5.353846,0.615385,-2.215385,0.023438,-0.009277,0.959961
5.353846,0.615385,-2.246154,0.023682,-0.008057,0.960205
5.323077,0.615385,-2.246154,0.02417,-0.008545,0.960205
5.323077,0.584615,-2.184615,0.025391,-0.008545,0.959229
5.292308,0.584615,-2.215385,0.024658,-0.007812,0.959717
5.292308,0.584615,-2.215385,0.024902,-0.009033,0.959229
5.261539,0.553846,-2.215385,0.025146,-0.010498,0.960938
5.292308,0.584615,-2.246154,0.025635,-0.009766,0.95874
5.323077,0.615385,-2.215385,0.024414,-0.008545,0.959473
5.323077,0.584615,-2.215385,0.025146,-0.007324,0.960693
5.323077,0.584615,-2.184615,0.024902,-0.007568,0.959717
5.353846,0.553846,-2.184615,0.025146,-0.007324,0.960449
5.353846,0.584615,-2.184615,0.024414,-0.008301,0.958496
5.353846,0.553846,-2.184615,0.022949,-0.008545,0.959473
5.353846,0.553846,-2.246154,0.023438,-0.009033,0.958984
5.323077,0.553846,-2.215385,0.023926,-0.008789,0.959717
5.323077,0.615385,-2.215385,0.024414,-0.008789,0.959473
5.353846,0.584615,-2.215385,0.025635,-0.008057,0.959717
5.353846,0.553846,-2.215385,0.024414,-0.007568,0.959229
5.353846,0.584615,-2.184615,0.024658,-0.008545,0.959229
5.353846,0.584615,-2.184615,0.023438,-0.009766,0.958984
5.323077,0.553846,-2.184615,0.02417,-0.009277,0.959229
5.323077,0.553846,-2.215385,0.024414,-0.007812,0.957764
5.323077,0.523077,-2.215385,0.023438,-0.009277,0.958008
5.353846,0.523077,-2.215385,0.023682,-0.009521,0.958008
5.384615,0.523077,-2.184615,0.023193,-0.009521,0.958252
5.292308,0.553846,-2.215385,0.024902,-0.009277,0.959473
5.323077,0.553846,-2.184615,0.024658,-0.008789,0.958252
5.323077,0.584615,-2.153846,0.025146,-0.008301,0.960693
5.323077,0.615385,-2.153846,0.026123,-0.008301,0.959473
5.353846,0.584615,-2.184615,0.024658,-0.008789,0.959473
5.384615,0.584615,-2.184615,0.024414,-0.009277,0.959473
5.323077,0.584615,-2.184615,0.024902,-0.009521,0.95874
5.323077,0.615385,-2.184615,0.025391,-0.009521,0.958252
5.323077,0.584615,-2.153846,0.025635,-0.010254,0.958496
5.353846,0.584615,-2.184615,0.024414,-0.009766,0.959717
5.353846,0.584615,-2.215385,0.024414,-0.009033,0.958252
5.353846,0.553846,-2.184615,0.024658,-0.008789,0.958252
5.384615,0.584615,-2.184615,0.023438,-0.009033,0.95752
5.353846,0.584615,-2.215385,0.023193,-0.01001,0.957031
5.384615,0.553846,-2.215385,0.022949,-0.009521,0.958984
